year;id;extends;predecessors;name;developers;companies;wiki;paradigm;;;
1980;applesoftiii;Applesoft II BASIC;;Applesoft III;;Apple Computer;;;;;
1980;cbasic;BASIC, Compiler Systems, Digital Research;;CBASIC;Gordon Eubanks;;;;;;
1980;cwithclasses;C, Simula 67;;C with classes;Bjarne Stroustrup;;;;;;
1980;smalltalk80;Smalltalk-76;;Smalltalk-80;Adele Goldberg;Xerox PARC;;;;;
1980;babbage;;;Babbage;GEC Computers;GEC Computers;Babbage_(programming_language);;static;;
1980;cal;;;C/AL;Michael Nielsen;Microsoft (dříve Navision);C/AL;imperative;static;;
1980;chill;;;CHILL;;ITU-T (CCITT);CHILL;procedural, modular;strong, static;;
1980;cybil;;;Cybil;;Control Data Corp;Cybil_(programming_language);systems;static;NOS/VE systems;
1980;hope;;;Hope;Burstall,MacQueen;Edinburgh University;Hope_(programming_language);functional;static;Functional research (Pattern matching);
1980;pipelines;;;Pipelines;JP Hartmann;IBM;Hartmann_pipeline;dataflow;dynamic;CMS data processing;https://www.ibm.com
1980;promela;;;Promela;Gerard J. Holzmann;Bell Labs;Promela;modeling language;static;System verification (SPIN);https://spinroot.com
1980;spin;;;SPIN;Gerard J. Holzmann;Bell Labs;Parallax_Propeller;modeling;static;Software verification (Promela);https://spinroot.com
1981;bbcbasic;BASIC;;BBC BASIC;Sophie Wilson;Acorn Computers;;;;;
1981;ibmbasic;BASIC;;IBM BASIC;;Microsoft;;;;;
1981;tiextendedbasic;TI BASIC;;TI Extended BASIC;;Texas Instruments;;;;;
1981;karel;;;Karel;Richard E. Pattis;Stanford University;Karel_(programming_language);educational;untyped;Teaching programming fundamentals;http://karel.sourceforge.net
1981;krc;;;KRC;David Turner;University of Kent;Kent_Recursive_Calculator;functional (lazy);strong;Research/Precursor to Miranda;en.wikipedia.org_(programming_language)
1981;masmmicrosoftassemblyx86;;;MASM Microsoft Assembly x86;Microsoft;Microsoft;Microsoft_Macro_Assembler;assembly;low-level;x86 system development;https://learn.microsoft.com
1981;nial;;;Nial;Jenkins,Gull;Queen's University;Nial;array-based;dynamic;Data analysis;http://www.nial.com
1981;openedge;;;OpenEdge Advanced Business Language;Progress Software;Progress Software;OpenEdge_Advanced_Business_Language;4gl/object-oriented;strong;Enterprise applications;https://www.progress.com
1981;ratfiv;;;Ratfiv;Bill Tuthill;UC Berkeley;Ratfiv;preprocessor;static;Ratfor dialect for FORTRAN;en.wikipedia.org
1981;t;;;T;Rees,Adams;Yale University;T_(programming_language);lisp/scheme;dynamic;Lisp optimization research;en.wikipedia.org_(programming_language)
1982;draco;Pascal, C, ALGOL 68;;Draco;Chris Gray;;Draco_(programming_language);;;;
1982;postscript;InterPress;;PostScript;John Edward Warnock;;PostScript;;;;
1982;speakeasyiv;Speakeasy-3;;Speakeasy-IV;Stanley Cohen;Speakeasy Computing Corporation;;;;;
1982;turing;Euclid;;Turing;Ric Holt. James Cordy;University of Toronto;Turing_(programming_language);;;;
1982;argus;;;Argus;Barbara Liskov;MIT;Argus_(programming_language);imperative;strong, static;;
1982;dataflex;;;DataFlex;;Data Access Corp;DataFlex;object-oriented;strong;Business DB apps;https://www.dataaccess.com
1982;gdl;;;Geometric Description Language;;Graphisoft;Geometric_Description_Language;parametric/visual;static;BIM objects for ArchiCAD;https://graphisoft.com
1982;janus;;;Janus;Lutz, Derby;Caltech;Janus_(concurrent_constraint_programming_language);reversible;static;Energy-efficient computing research;_(time-reversible_computing_programming_language)
1982;lithe;;;Lithe;Bjarne Stroustrup;Bell Labs;Lithe_(programming_language);systems;static;C++ precursor research;en.wikipedia.org
1982;maple;;;Maple;Keith Geddes;University of Waterloo;Maple_(software);symbolic;dynamic;Mathematical computation;https://www.maplesoft.com
1982;planc;;;PLANC;Norsk Data;Norsk Data;PLANC;systems;static;Nord-500 system programming;en.wikipedia.org
1982;prograph;;;Prograph;Szpakowicz,Stanat;Acadia University;Prograph;visual/dataflow;dynamic;General purpose visual programming;en.wikipedia.org
1982;signal;;;SIGNAL;Paul Le Guernic;INRIA;SIGNAL_(programming_language);synchronous;static;Embedded real-time systems;https://www.inria.fr
1982;zebra;;;Zebra;Zebra Tech;Zebra Technologies;Zebra_(programming_language);label description;untyped;Barcode label printing;https://www.zebra.com
1983;abap;COBOL;;ABAP;;SAP AG;ABAP;;;;
1983;ada83;Ada 80, Green;;Ada 83;Jean Ichbiah;Alsys;;;;;
1983;c;C with Classes;;C++;Bjarne Stroustrup;;C*;;;;
1983;clascal;Pascal;;Clascal;;Apple Computer;;;;;
1983;gwbasic;IBM BASIC;;GW-BASIC;;Microsoft;;;;;
1983;kornshellksh;sh;;KornShell (ksh);David Korn;;;;;;
1983;objectivec;Smalltalk, C;;Objective-C;Brad Cox;;Objective-C;;;;
1983;occam;EPL;;occam;David May;;Occam-%CF%80;;;;
1983;truebasic;BASIC;;True BASIC;John George Kemeny, Thomas Eugene Kurtz;Dartmouth College;;;;;
1983;turbopascal;Pascal;;Turbo Pascal;Hejlsberg;Borland;;;;;
1983;epl;;;EPL;University of Edinburgh;Edinburgh Poplog Group;Easy_Programming_Language;multi-paradigm;dynamic;AI Research/Poplog environment;
1983;kee;;;KEE;;IntelliCorp;IntelliCorp_(Software);knowledge-based;dynamic;Expert system development;
1983;kornshell;;;KornShell;David Korn;Bell Labs;KornShell;scripting;dynamic;Unix shell & scripting;http://www.ksh93.org
1983;krypton;;;KRYPTON;Brachman,Pigman;Xerox PARC;KRYPTON;knowledge-based;strong;AI & Frame representation;en.wikipedia.org
1983;lucid;;;Lucid;Ashcroft,Wadge;University of Waterloo;Lucid_(programming_language);dataflow;static;Parallel computing research;en.wikipedia.org_(programming_language)
1983;sisal;;;SISAL;LLNL;Lawrence Livermore Nat. Lab;SISAL;functional;static;Supercomputer scientific computing;en.wikipedia.org
1983;sml;;;SML;Robin Milner;University of Edinburgh;Standard_ML;functional;strong static;Academic research/Theorem proving;https://www.smlnj.org
1984;clipper;dBase;;CLIPPER;;Nantucket Corporation;Clipper_(programming_language);;;;
1984;commonlisp;LISP;;Common Lisp;Guy L. Steele Jr.;;Common_Lisp;;;;
1984;opl;BASIC;;OPL;;Psion;;;;;
1984;redcode;;;Redcode;Alexander Dewdney, D.G. Jones;;Core_War;;;;
1984;rocq;;;Rocq;;INRIA;Rocq;;;;
1984;rpl;Forth, Lisp;;RPL;;Hewlett-Packard;RPL_(programming_language);;;;
1984;standardml;ML;;Standard ML;;;;;;;
1984;foxbasefoxpro;;;FoxBase/FoxPro;;Fox Software;FoxPro_(programming_language);procedural/db;dynamic;Desktop Database apps;https://www.microsoft.com
1984;lisa;;;LISA;Invention Software;Invention Software;Language_for_Instruction_Set_Architecture;object-oriented;dynamic;Macintosh development (Legacy);en.wikipedia.org_(programming_language)
1984;lynx;;;Lynx;Michael Scott;University of Wisconsin;Lynx_(programming_language);distributed;strong;Distributed systems research;en.wikipedia.org_(programming_language)
1984;obj2;;;OBJ2;Joseph Goguen;SRI International;OBJ2;algebraic;strong;Verification and specification;en.wikipedia.org
1984;open;;;Open Programming Language;Psion;Psion;Open_Programming_Language;scripting;dynamic;Handheld computers (EPOC);en.wikipedia.org
1984;orwell;;;Orwell;Philip Wadler;Oxford University;Orwell_(programming_language);functional;static;Haskell precursor;en.wikipedia.org_(programming_language)
1984;rapira;;;Rapira;Andrei Ershov;Soviet Academy of Sciences;Rapira;procedural;dynamic;Educational programming (USSR);en.wikipedia.org
1984;uniface;;;Uniface;Uniface B.V.;Rocket Software;Uniface_(programming_language);low-code/4gl;static;Enterprise application development;https://www.rocketsoftware.com
1985;paradox;dBase;;PARADOX;;Borland;;;;;
1985;quickbasic;BASIC;;QuickBASIC;;Microsoft;;;;;
1985;batchfile;;;Batch file;Microsoft;Microsoft , IBM;Batch_file;procedural;untyped;;
1985;clips;C;C Language Integrated Production System;CLIPS;;NASA;CLIPS_(programming_language);object-oriented, expertsystem;;;http://clipsrules.net/
1985;emacslisp;;;Emacs Lisp;Richard Stallman;Free Software Foundation;Emacs_Lisp;functional/lisp;dynamic;Emacs text editor extension;www.gnu.org
1985;esterel;;;Esterel;Gerard Berry;INRIA;Esterel;synchronous/reactive;static;Real-time embedded systems;https://www.esterel-technologies.com
1985;max;;;Max;Miller Puckette;IRCAM,Cycling '74;Max_(software);visual;dynamic;Audio/Video synthesis;https://cycling74.com
1985;parigp;;;PARI/GP;Henri Cohen;University of Bordeaux;PARI/GP;number theory;dynamic;Advanced mathematics;https://pari.math.u-bordeaux.fr
1985;sqr;;;SQR;SQRIBE;Oracle,PeopleSoft;SQR;reporting;dynamic;PeopleSoft report generation;https://www.oracle.com
1985;sr;;;SR;Andrews,Olsson;University of Arizona;SR_(programming_language);concurrent;static;Concurrency research;www.cs.arizona.edu
1985;stata;;;Stata;StataCorp;StataCorp;Stata;statistical;dynamic;Data analysis and econometrics;https://www.stata.com
1986;clarion;;;Clarion;Bruce Barrington;;Clarion_(programming_language);;;;
1986;corvision;INFORM;;CorVision;;Cortex;CorVision;;;;
1986;eiffel;Simula 67, Ada;;Eiffel;Bertrand Meyer;;Eiffel_(programming_language);;;;
1986;erlang;PLEX, Prolog;;Erlang;Joe Armstrong;Ericsson;Erlang_(programming_language);;;;
1986;gfabasic;BASIC;;GFA BASIC;Frank Ostrowski;;;;;;
1986;informix4gl;;;Informix-4GL;;IBM;;;;;
1986;labview;;;LabVIEW;;National Instruments;LabVIEW;;;;
1986;miranda;SASL;;Miranda;David Turner;University of Kent;Miranda_(programming_language);;;;
1986;objectpascal;Pascal;;Object Pascal;;Apple Computer;Object_Pascal;;;;
1986;promal;C;;PROMAL;;;PROMAL;;;;
1986;autolisp;;;AutoLISP;David Betz;Autodesk;AutoLISP;;dynamic;;www.autodesk.com
1986;csound;;;Csound;Barry Vercoe;MIT;Csound;domain-specific;audio-typed;Sound synthesis;https://csound.com
1986;drakon;;;DRAKON;Vladimir Parondzhanov;Buran project;DRAKON;visual;graphical;Spacecraft control systems;http://drakon.su
1986;emerald;;;Emerald;Black, Hutchinson, Levy;University of Washington;Emerald_(programming_language);distributed/object-oriented;strong;Distributed systems;http://www.emerald-lang.org
1986;fl;;;FL;John Backus;IBM;FL_(programming_language);functional;static;Academic research (FP successor);
1986;gap;;;GAP;;GAP Group, RWTH Aachen University;GAP_computer_algebra_system;algebraic/scripting;dynamic;Computational Group Theory;https://www.gap-system.org
1986;hermes;;;Hermes;Robert Strom;IBM Research;Hermes_(programming_language);distributed;static;Secure distributed systems research;
1986;ibminformix4gl;;;IBM Informix-4GL;;IBM,Informix;IBM_Informix-4GL;4gl/database;static;Enterprise SQL applications;www.ibm.com
1986;objectlisp;;;Object Lisp;LMI;Lisp Machines Inc.;Object_Lisp;object-oriented (lisp);dynamic;Early Lisp OO extension;en.wikipedia.org
1986;objectlogo;;;ObjectLOGO;Paradigm Software;Paradigm Software;ObjectLOGO;object-oriented (logo);dynamic;Educational programming;en.wikipedia.org
1986;tpu;;;TPU;DEC;VMS Software (DEC);Text_Processing_Utility;scripting (editor);dynamic;EVE editor programming;https://vmssoftware.com
1986;visualprolog;;;Visual Prolog;Prolog Development C;Prolog Development Center;Visual_Prolog;logic;static;AI/Expert systems;https://www.visual-prolog.com
1987;clean;;;Clean;;Radboud University Nijmegen;Clean_(programming_language);;;;
1987;hypertalk;;;HyperTalk;;Apple Computer;HyperTalk;;;;
1987;oberon;Modula-2;;Oberon;Niklaus Wirth;;Oberon_(programming_language);;;;
1987;occam2;occam;;occam 2;David May;INMOS;;;;;
1987;perl;C, sed, awk, sh;;Perl;Larry Wall;;Perl;;;;
1987;turbobasic;BASIC/Z;;Turbo Basic;Robert 'Bob' Zale;;;;;;
1987;arexx;;;ARexx;William S. Hawes;Commodore (Amiga);ARexx;procedural;typeless;;
1987;caml;;;Caml;Ascánder Suárez, Pierre Weis, Michel Mauny, Xavier Leroy, Damien Doligez, Gérard Huet;INRIA (French Institute for Research in Computer Science and Automation);Caml;functional;static (hindley–milner);;
1987;flex;;;Flex;Vern Paxson;UC Berkeley;Flex_(language);domain-specific;n/a;Generating lexical analyzers;github.com
1987;lansa;;;LANSA;LANSA;LANSA;LANSA_(development_environment);4gl/low-code;strong;IBM i (AS/400) development;https://www.lansa.com
1987;lustre;;;Lustre;Paul Caspi;Verimag;Lustre_(programming_language);synchronous;static;Critical real-time systems;en.wikipedia.org_(programming_language)
1987;tads;;;TADS;Michael J. Roberts;TADS Team;TADS;object-oriented/game;dynamic;Interactive fiction development;http://www.tads.org
1987;transcript;;;Transcript;MetaCard;LiveCode (MetaCard);Transcript_(programming_language);natural-language;dynamic;Precursor to LiveCode;https://livecode.com
1988;a;APL, A;;A+;Arthur Whitney;;A%2B_(programming_language);;;;
1988;actor;Forth, Smalltalk;;Actor;Charles Duff;Whitewater Group;Actor_(programming_language);;;;
1988;c90;C;;C90;;C90 ISO,IEC 9899:1990;;;;;
1988;hamiltoncshell;C shell;;Hamilton C shell;Nicole Hamilton;;Hamilton_C_shell;;;;
1988;objectrexx;REXX, Smalltalk;;Object REXX;Simon C. Nash;;Object_REXX;;;;
1988;octave;MATLAB;;Octave;;;;;;;
1988;spark;Ada;;SPARK;Bernard A. Carré;;SPARK_(programming_language);;;;
1988;stosbasic;BASIC;;STOS BASIC;François Lionet, Constantin Sotiropoulos;;;;;;
1988;tcl;Awk, Lisp;;Tcl;John Ousterhout;;Tcl;;;;
1988;wolfram; though borrowing some syntax from C and certain functionalities of lists from LISP;;Wolfram;;Wolfram Research;;;;;
1988;acc;!!!;;ACC;;;ACC_(programming_language);;;;
1988;euslisprobotprogramminglanguage;;;EusLisp Robot Programming Language;Toshihiro Matsui;ETL (Japan);EusLisp_Robot_Programming_Language;object-oriented/lisp;dynamic;Robotics control systems;euslisp.github.io
1988;gnuoctave;;;GNU Octave;John W. Eaton;University of Wisconsin-Madison;GNU_Octave;numerical;dynamic;Mathematical simulations (Matrix);www.gnu.org
1988;lingo;;;Lingo;John Henry Thompson;Macromedia (Adobe);Lingo_(programming_language);scripting/oo;dynamic;Adobe Director multimedia;https://www.adobe.com
1988;napier88;;;Napier88;Ronald Morrison;University of St Andrews;Napier88;persistent;strong;Persistent data research;en.wikipedia.org
1988;omnimark;;;OmniMark;Stilo Corp;Stilo Corporation;OmniMark;stream-oriented;dynamic;XML/SGML processing;www.stilo.com
1988;picolisp;;;Picolisp;Alexander Burger;Alexander Burger;Picolisp;lisp;dynamic;Minimalist Lisp implementation;https://picolisp.com
1988;splus;;;S-PLUS;Insightful Corp;Insightful Corp;S-PLUS;statistical;dynamic;Commercial version of S language;https://www.tibco.com
1988;strand;;;Strand;Foster,Taylor;Argonne National Lab;Strand_(programming_language);parallel (logic);dynamic;Parallel logic programming;en.wikipedia.org_(programming_language)
1988;txl;;;TXL;Cordy,Halpern;Queen's University;TXL_(programming_language);transformational;static;Code analysis and transformation;http://www.txl.ca
1988;unity;;;UNITY;Chandy,Misra;University of Texas;UNITY_(programming_language);declarative;static;Formal verification research;en.wikipedia.org_(programming_language)
1988;wolframlanguage;;;Wolfram Language;Stephen Wolfram;Wolfram Research;Wolfram_Language;multi-paradigm/symbolic;dynamic;Scientific computation/Math;www.wolfram.com
1989;bash;Bourne shell, C shell, KornShell;;Bash;Brian Fox;;Bash_(Unix_shell);;;;
1989;lpc;;;LPC;Lars Pensjö;;LPC_(programming_language);;;;
1989;magik;Smalltalk;;Magik;Arthur Chance;Smallworld Systems Ltd;Magik_(programming_language);;;;
1989;modula3;Modula-2;;Modula-3;Cardeli;DEC, Olivetti;Modula-3;;;;
1989;powerbasic;Turbo Basic;;PowerBASIC;Robert 'Bob' Zale;;;;;;
1989;turbopascaloop;Turbo Pascal, Object Pascal;;Turbo Pascal OOP;Anders Hejlsberg;Borland;;;;;
1989;vissim;;;VisSim;Peter Darnell;Visual Solutions;;;;;
1989;formula;;;@Formula;;Lotus,IBM;Formula_language;declarative/scripting;dynamic;Lotus Notes/Domino automation;https://www.hcl-software.com
1989;rc;;;rc;Tom Duff;Bell Labs;Rc_(Unix_shell);shell (plan 9);dynamic;Unix command line;doc.cat-v.org
1989;sequencel;;;SequenceL;Daniel Cooke;Texas Tech University;SequenceL;parallel;static;Automatic parallelization;https://sequencel.com
1989;supertalk;;;SuperTalk;Silicon Beach;Silicon Beach Software;SuperTalk;scripting;dynamic;SuperCard automation;http://www.supercard.us
1989;tsql;;;T-SQL;Sybase,Microsoft;Microsoft;Transact-SQL;database;static;Procedural SQL extensions;https://learn.microsoft.com
1990;amosbasic;STOS BASIC;;AMOS BASIC;François Lionet, Constantin Sotiropoulos;;;;;;
1990;ampl;;;AMPL;Robert Fourer, David Gay, Brian Kernighan;Bell Laboratories;AMPL;;;;
1990;eulisp;Common Lisp, Scheme;;EuLisp;;;;;;;
1990;haskell;Miranda, Clean;;Haskell;;;Haskell;;;;
1990;j;APL, FP;;J;Kenneth E. Iverson, Roger Hui;Iverson Software;J_(programming_language);;;;
1990;objectoberon;Oberon;;Object Oberon;H. Mössenböck, J. Templ, R. Griesemer;;;;;;
1990;sather;Eiffel;;Sather;Steve Omohundro;;Sather;;;;
1990;skill;Franz Lisp;;SKILL;T. J. Barnes;Cadence Design Systems;SKILL;;;;
1990;zshellzsh;ksh;;Z shell (zsh);Paul Falstad;Princeton University;;;;;
1990;accent;!!!java;;ACcent;;Rational Software;Accent_(programming_language);;;;
1990;aldor;A#, Pascal, Haskell;;Aldor;Richard Dimick Jenks, Barry Trager, Stephen Watt, James Davenport, Robert Sutor, Scott Morrison;IBM;Aldor;oop, functional, imperative, dependent typed, logic;;Axiom;https://aldor.org/
1990;charm;RTL/2, C, Pascal;;Charm;P. Nowosad;University of Stirling (Scotland);Charm_(language);procedural, structured;static;RISC OS;http://charm.qu-bit.co.uk/
1990;kaleidoscope;;;Kaleidoscope;Lopez, Freeman-Benson;University of Washington;Kaleidoscope_(programming_language);constraint-based;dynamic;Constraint research;
1990;moo;;;MOO;Stephen White;Xerox PARC;MOO_(programming_language);object-oriented;dynamic;Multi-user virtual environments;en.wikipedia.org_(programming_language)
1990;nesl;;;NESL;Guy Blelloch;CMU;NESL;parallel/functional;static;Parallel algorithm research;www.cs.cmu.edu
1990;rsl;;;RSL;RAISE Group;UNU-IIST;Robot_Battle#Robot_scripting_language;formal specification;strong;System design specification;en.wikipedia.org
1990;scilab;;;Scilab;INRIA;INRIA,ENPC;Scilab;numerical;dynamic;Scientific computation;https://www.scilab.org
1990;simulink;;;Simulink;MathWorks;MathWorks;Simulink;graphical modeling;static;Physical system simulation;www.mathworks.com
1990;starlogo;;;Starlogo;Mitchel Resnick;MIT Media Lab;Starlogo;agent-based;dynamic;Complex system simulation;https://education.mit.edu
1990;unicon;;;Unicon;Clinton Jeffery;Unicon Org;Unicon_(programming_language);multi-paradigm;dynamic;Advanced data processing;http://unicon.org
1990;zshell;;;Z shell;Paul Falstad;Zsh Team;Z_shell;scripting (shell);dynamic;Unix shell automation;https://www.zsh.org
1991;gnue;C++;;GNU E;David J. DeWitt, Michael J. Carey;;GNU_E;;;;
1991;oberon2;Object Oberon;;Oberon-2;Hanspeter Mössenböck, Niklaus Wirth;;;;;;
1991;oz;Prolog;;Oz;Gert Smolka;;Oz_(programming_language);;;;
1991;python;Perl, ABC, C;;Python;Guido van Rossum;;Python_(programming_language);;;;
1991;q;;;Q;Albert Gräf;;Q_(programming_language_from_Kx_Systems);;;;
1991;visualbasic;QuickBASIC;;Visual Basic;Alan Cooper;Microsoft;;;;;
1991;constrainthandlingrules;;;Constraint Handling Rules;Thom Fruhwirth;LMU Munich;Constraint_Handling_Rules;declarative;logic;Constraint solving;dtai.cs.kuleuven.be
1991;ease;;;Ease;Steven Atkinson;University of Reading;Ease_(programming_language);parallel (c-based);static;Parallel computing;
1991;kixtart;;;Kixtart;Ruud van Velsen;Microsoft;KiXtart;scripting;dynamic;Windows logon scripting;http://www.kixtart.org
1991;newlisp;;;NewLISP;Lutz Mueller;Lutz Mueller;NewLISP;lisp/scripting;dynamic;General purpose scripting;http://www.newlisp.org
1991;oak;;;Oak;James Gosling;Sun Microsystems;Oak_(programming_language);object-oriented;static;Java precursor;https://www.oracle.com
1991;plsql;;;PL/SQL;Oracle;Oracle;PL/SQL;database-driven;static;Oracle Database logic;www.oracle.com
1991;povraysdl;;;POV-Ray SDL;POV-Team;POV-Ray Team;POV-Ray;raytracing sdl;untyped;3D scene description;https://www.povray.org
1991;powerbuilder;;;PowerBuilder;Sybase;Appeon (originally Sybase);PowerBuilder;object-oriented (rad);static;Client-server apps;https://www.appeon.com
1991;vimscript;;;Vim script;Bram Moolenaar;Vim Team;Vim_(text_editor)#Vim_script;scripting;dynamic;Vim editor extension;https://www.vim.org
1991;zpp;;;Z++;Kevin Lano;Kevin Lano;Z%2B%2B;formal/object-oriented;strong;System specification (Z notation);en.wikipedia.org
1992;borlandpascal;Turbo Pascal OOP;;Borland Pascal;Anders Hejlsberg;Borland;;;;;
1992;dylan;Common Lisp, Scheme;;Dylan;;Apple Computer;Dylan_(programming_language);;;;
1992;slang;PostScript;;S-Lang;John E. Davis;;S-Lang;;;;
1992;alef;C, Newsqueak;;Alef;Phil Winterbottom;;Alef_(programming_language);compiled, concurrent, structured;static, strong;Plan 9 from Bell Labs;
1992;alf;Prolog;Algebraic Logic Functional programming language;Algebraic Logic Functional (ALF);;;Algebraic_Logic_Functional_programming_language;logic, functional;;;http://www.informatik.uni-kiel.de/~mh/systems/ALF
1992;cecil;;;Cecil;Craig Chambers;University of Washington;Cecil_(programming_language);object-oriented, imperative;dynamic, optional static;;
1992;ch;;;Ch;Harry H. Cheng;SoftIntegration, Inc.;Ch_(computer_programming);;;;
1992;darwin;;;Darwin;Gaston Gonnet;ETH Zurich;Darwin_(programming_language);scripting;dynamic;Bioinformatics;
1992;gdel;;;Gödel;Hill, Lloyd;University of Bristol;G%C3%B6del_(programming_language);logic (declarative);strong;Logic programming research;
1992;kif;;;KIF;Michael Genesereth;Stanford KSL;Knowledge_Interchange_Format;logic/interchange;strong;AI knowledge interchange;ksl.stanford.edu
1992;mupad;;;MuPAD;University of Paderborn;MathWorks;MuPAD;symbolic;dynamic;Mathematical computation;www.mathworks.com
1992;pict;;;Pict;Benjamin Pierce;University of Edinburgh;Pict_(programming_language);concurrent;strong;Pi-calculus research;en.wikipedia.org_(programming_language)
1992;sensetalk;;;SenseTalk;Doug Simons;Eggplant (Keysight);SenseTalk;natural-language;dynamic;UI Test automation;https://www.eggplantsoftware.com
1992;ttcn;;;TTCN;ETSI;ETSI;TTCN;testing;static;Communication protocol testing;http://www.ttcn-3.org
1992;yorick;;;Yorick;David Munro;LLNL;Yorick_(programming_language);numerical/array-based;dynamic;Scientific data analysis;https://yorick.github.io
1993;applescript;HyperTalk;;AppleScript;;Apple Computer;AppleScript;;;;
1993;brainfuck;P'′;;Brainfuck;Urban Müller;;;;;;
1993;euphoria;SNOBOL, AWK, ABC, Icon, Python;;Euphoria;Robert Craig;;Euphoria_(programming_language);;;;
1993;k;APL, Lisp;;K;Arthur Whitney;;K_(programming_language);;;;
1993;livecodetranscript;HyperTalk;;LiveCode Transcript;;LiveCode Ltd.;;;;;
1993;lua;Scheme, SNOBOL, Modula, CLU, C++;;Lua;Roberto Ierusalimschy;Tecgraf, PUC-Rio;Lua_(programming_language);;;;
1993;newtonscript;Self, Dylan;;NewtonScript;Walter Smith;;NewtonScript;;;;
1993;r;S;;R;Robert Gentleman, Ross Ihaka;;R%2B%2B;;;;
1993;self;Smalltalk;;Self;;Sun Microsystems;Self_(programming_language);;;;
1993;zpl;C;;ZPL;Chamberlain;University of Washington;ZPL_(programming_language);;;;
1993;agora;!!!;;Agora;;;Agora_(programming_language);;;;https://soft.vub.ac.be/research/agora/
1993;aimms;!!!;Advanced Interactive Multidimensional Modeling System;AIMMS;Johannes J. Bisschop, Marcel Roelofs;Paragon Decision Technology B.V.;AIMMS;;;;https://www.aimms.com/
1993;cfengine;;;CFEngine;Mark Burgess;CFEngine AS, Oslo University College;CFEngine;declarative (configuration management);untyped;;cfengine.com
1993;es;;;es;Paul Haahr, Byron Rakitzis;Bell Labs;Es_(Unix_shell);functional/shell;dynamic;Unix shell scripting;doc.cat-v.org
1993;gnuguile;;;GNU Guile;;Free Software Foundation;GNU_Guile;scheme/functional;dynamic;GNU system extension language;www.gnu.org
1993;inform;;;Inform;Graham Nelson;Graham Nelson;Inform_(programming_language);rule-based/logic;dynamic;Interactive fiction/Game design;https://inform7.com
1993;instructionlist;;;Instruction List;;IEC 61131-3;Instruction_List;low-level/plc;static;Industrial automation/PLC;https://www.iec.ch
1993;magma;;;Magma;John Cannon;University of Sydney;Magma_computer_algebra_system;algebraic;dynamic;Advanced mathematics/Algebra;http://magma.maths.usyd.edu.au
1993;maudesystem;;;Maude system;Meseguer,Clavel;SRI International;Maude_system;rewriting logic;strong;Formal verification/Logic;http://maude.cs.illinois.edu
1993;maya;;;Maya;Alias;Autodesk (Alias);Maya_Embedded_Language;scripting (mel);dynamic;Maya 3D automation;www.autodesk.com
1993;mpd;;;MPD;Andrews,Olsson;University of Arizona;MPD_(programming_language);parallel;static;Parallel programming education;www.cs.arizona.edu
1993;obliq;;;Obliq;Luca Cardelli;Digital Equipment Corp;Obliq;distributed/oo;dynamic;Network programming;en.wikipedia.org
1993;sol;;;SOL;PUC-Rio;PUC-Rio;Secure_Operations_Language;data-driven/scripting;dynamic;Precursor to Lua;www.lua.org
1993;structuredtext;;;Structured Text;IEC;IEC;Structured_Text;plc/procedural;static;Industrial automation;https://www.iec.ch
1993;xsb;;;XSB;Stony Brook Univ;Stony Brook University;XSB;logic (prolog);dynamic;Semantic web/Ontology research;http://xsb.sourceforge.net
1994;ansforth;Forth;;ANS Forth;Elizabeth Rather;;;;;;
1994;ansicommonlisp;Common Lisp;;ANSI Common Lisp;;;;;;;
1994;claire;Smalltalk, SETL, OPS5, Lisp, ML, C, LORE, LAURE;;Claire;Yves Caseau;;Claire_(programming_language);;;;
1994;pike;LPC, C, μLPC;;Pike;Fredrik Hübinette;Linköping University;Pike_(programming_language);;;;
1994;rapid;ARLA;;RAPID;;ABB;RAPID;;;;
1994;cilk;C;;Cilk;;MIT, Intel;Cilk;imperative, procedural, structured, parallel;static, weak, manifest;;https://cilk.mit.edu/
1994;escher;;;Escher;Pieter Hendriks;University of Nijmegen;Escher_(programming_language);functional (pure);static;Research/Database querying;www.cs.ru.nl
1994;opal;;;Opal;TU Berlin;TU Berlin;Opal_(programming_language);functional;static;Functional programming research;en.wikipedia.org
1994;strongtalk;;;Strongtalk;Long,Bak;Sun Microsystems;Strongtalk;object-oriented;strong (optional);High-performance Smalltalk dialect;http://www.strongtalk.org
1994;visualdataflex;;;Visual DataFlex;Data Access Corp;Data Access Corporation;Visual_DataFlex;object-oriented/rad;static;Database applications;https://www.dataaccess.com
1994;xbase;;;xBase++;Alaska Software;Alaska Software;XBase%2B%2B;object-oriented/db;dynamic;Modernizing Clipper applications;http://www.alaska-software.com
1995;ada95;Ada 83;;Ada 95;S. Tucker Taft;Intermetrics;;;;;
1995;borlanddelphi;Borland Pascal;;Borland Delphi;Anders Hejlsberg;Borland;;;;;
1995;coldfusioncfml;;;ColdFusion (CFML);Allaire;Allaire;;;;;
1995;java;C, Simula 67, C++, Smalltalk, Ada 83, Objective-C, Mesa;;Java;James Gosling;Sun Microsystems;Java_(programming_language);;;;
1995;javascript;LiveScript;;JavaScript;Brendan Eich;Netscape;JavaScript;;;;
1995;livescript;Self, C, Scheme;;LiveScript;Brendan Eich;Netscape;LiveScript_(programming_language);;;;
1995;mercury;Prolog, Hope, Haskell;;Mercury;Zoltan Somogyi;University of Melbourne;Mercury_(programming_language);;;;
1995;php;Perl;;PHP;Rasmus Lerdorf;;PHP;;;;
