year;id;extends;predecessors;name;developers;companies;wiki;paradigm;;;
1959;cobol;FLOW-MATIC, COMTRAN, FACT;;COBOL;Howard Bromberg, Norman Discount, Vernon Reeves, Jean E. Sammet, William Selden, Gertrude Tierney;CODASYL, ANSI, ISO,IEC;COBOL;procedural, imperative, objectoriented, generic;weak, static;;
1959;fact;;;FACT;Fletcher R. Jones, Roy Nutt, Robert L. Patrick;;;;;;
1959;jovial;ALGOL 58;;JOVIAL;Jules Schwartz;SDC;JOVIAL;;;;
1959;lisp;IPL;;LISP;Steve Russell;;Lisp_(programming_language);;;;
1959;mad;ALGOL 58;;MAD;Bruce Arden, Bernard Galler, Robert M. Graham;;MAD_(programming_language);;;;
1959;sps;;;SPS;IBM;IBM;IBM_1401_Symbolic_Programming_System;assembly;untyped;IBM 1401 symbolic programming;en.wikipedia.org
1960;algol60;ALGOL 58;;ALGOL 60;;;ALGOL_60;;;;
1960;sako;;;SAKO;Leon Łukaszewicz;Polish Academy of Sciences;SAKO_(programming_language);;;;
1961;comit;;;COMIT;Victor Yngve;;COMIT;;;;
1961;gpss;;;GPSS;Geoffrey Gordon;IBM;GPSS;;;;
1961;gotran;;;GOTRAN;;IBM;IBM_1620#GOTRAN;procedural;static;Interpreted FORTRAN (IBM 1620);
1961;speakeasy;;;Speakeasy;Stanley Cohen;Argonne National Lab;Speakeasy_(computational_environment);numerical;dynamic;Interactive physics analysis;https://www.speakeasy.com
1962;fortraniv;FORTRAN II;;FORTRAN IV;;IBM;;;;;
1962;simula;ALGOL 60;;Simula;Ole-Johan Dahl;;Simula;;;;
1962;snobol;FORTRAN II, COMIT;;SNOBOL;Ralph Griswold;;SNOBOL;;;;
1962;formac;;;FORMAC;Jean Sammet;IBM;FORMAC;symbolic/algebraic;static;Formula manipulation;https://www.ibm.com
1962;languageh;;;Language H;NCR;NCR Corporation;Language_H;procedural;static;Business data processing;en.wikipedia.org
1962;linc;;;LINC;Mary K. Hawes;Burroughs Corporation;LINC_4GL;database/4gl;strong;Business app development;en.wikipedia.org
1962;simscript;;;SIMSCRIPT;Harry Markowitz;RAND Corporation;SIMSCRIPT;simulation;static;Discrete event simulation;https://simscript.com
1962;snowball;;;Snowball;G. Farber;Bell Labs;Snowball_programming_language;text-processing;dynamic;String manipulation (SNOBOL);en.wikipedia.org
1962;teco;;;TECO;Dan Murphy;MIT;Text_Editor_and_Corrector;text-processing/macro;untyped;Editor and scripting (PDP);en.wikipedia.orgECO_(text_editor)
1963;cpl;ALGOL 60;;CPL;Barron, Christopher Strachey;;CPL_(programming_language);;;;
1963;jossi;ALGOL 58;;JOSS I;Cliff Shaw;RAND;;;;;
1963;snobol3;SNOBOL;;SNOBOL3;Ralph E. Griswold;;;;;;
1963;joss;;;JOSS;Cliff Shaw;RAND Corporation;JOSS;interactive;dynamic;Numerical calculations (time-sharing);https://www.rand.org
1963;slip;;;SLIP;Joseph Weizenbaum;MIT;SLIP_(programming_language);list-processing;dynamic;Natural language research (ELIZA);en.wikipedia.org_(programming_language)
1964;basic;FORTRAN II, JOSS;;BASIC;John George Kemeny, Thomas Eugene Kurtz;Dartmouth College;BASIC;;;;
1964;basicassemblylanguage;Assembly language;;Basic Assembly Language;;IBM;;;;;
1964;cowsel;CPL, LISP;;COWSEL;Rod Burstall, Robin Popplestone;;COWSEL;;;;
1964;iitran;PL/I;;IITRAN;William S. Worley;Illinois Institute of Technology;;;;;
1964;markiv;;;Mark-IV;;Sterling Software;MARK_IV_(software);;;;
1964;mimic;MIDAS;;MIMIC;H. E. Petersen;;MIMIC;;;;
1964;rpg;FARGO;;RPG;;IBM;IBM_RPG;;;;
1964;speakeasy2;Speakeasy;;Speakeasy-2;Stanley Cohen;Argonne National Laboratory;;;;;
1964;trac;;;TRAC;Calvin Mooers;;TRAC_(programming_language);;;;
